PathID,Path,StartRevision,Length
1,"/ct09_zasobnik1",2510,24
1,"/ct09_zasobnik1",2535,40
1,"/ct09_zasobnik1",2576,29
1,"/ct09_zasobnik1",2606,5
1,"/ct09_zasobnik1",2614,3
1,"/ct09_zasobnik1",2618,28
1,"/ct09_zasobnik1",2647,2
1,"/ct09_zasobnik1",2650,6
1,"/ct09_zasobnik1",2657,5
1,"/ct09_zasobnik1",2663,4
1,"/ct09_zasobnik1",2668,5
1,"/ct09_zasobnik1",2675,1
1,"/ct09_zasobnik1",2677,3
1,"/ct09_zasobnik1",2682,1
1,"/ct09_zasobnik1",2684,4
1,"/ct09_zasobnik1",2689,7
1,"/ct09_zasobnik1",2697,11
1,"/ct09_zasobnik1",2709,4
1,"/ct09_zasobnik1",2714,1
1,"/ct09_zasobnik1",2716,1
1,"/ct09_zasobnik1",2718,15
1,"/ct09_zasobnik1",2738,34
1,"/ct09_zasobnik1",2773,34
1,"/ct09_zasobnik1",2808,5
1,"/ct09_zasobnik1",2814,7
1,"/ct09_zasobnik1",2822,3
1,"/ct09_zasobnik1",2826,3
1,"/ct09_zasobnik1",2830,5
1,"/ct09_zasobnik1",2836,1
1,"/ct09_zasobnik1",2838,1
1,"/ct09_zasobnik1",2841,1
1,"/ct09_zasobnik1",2845,8
1,"/ct09_zasobnik1",2854,1
1,"/ct09_zasobnik1",2856,3
1,"/ct09_zasobnik1",2860,2
1,"/ct09_zasobnik1",2863,4
1,"/ct09_zasobnik1",2868,7
1,"/ct09_zasobnik1",2876,1
1,"/ct09_zasobnik1",2878,1
1,"/ct09_zasobnik1",2880,2
1,"/ct09_zasobnik1",2883,3
1,"/ct09_zasobnik1",2888,3
1,"/ct09_zasobnik1",2895,10
1,"/ct09_zasobnik1",2907,2
1,"/ct09_zasobnik1",2910,2
1,"/ct09_zasobnik1",2913,6
1,"/ct09_zasobnik1",2920,2
1,"/ct09_zasobnik1",2923,3
1,"/ct09_zasobnik1",2927,4
1,"/ct09_zasobnik1",2932,3
1,"/ct09_zasobnik1",2938,11
1,"/ct09_zasobnik1",2950,101
1,"/ct09_zasobnik1",3052,23
1,"/ct09_zasobnik1",3076,65
1,"/ct09_zasobnik1",3142,61
1,"/ct09_zasobnik1",3204,7
1,"/ct09_zasobnik1",3212,3
1,"/ct09_zasobnik1",3216,1
1,"/ct09_zasobnik1",3218,7
1,"/ct09_zasobnik1",3226,11
1,"/ct09_zasobnik1",3238,11
1,"/ct09_zasobnik1",3250,8
1,"/ct09_zasobnik1",3259,37
1,"/ct09_zasobnik1",3297,1
1,"/ct09_zasobnik1",3299,6
1,"/ct09_zasobnik1",3306,32
1,"/ct09_zasobnik1",3339,2
1,"/ct09_zasobnik1",3342,3
1,"/ct09_zasobnik1",3346,6
1,"/ct09_zasobnik1",3353,105
1,"/ct09_zasobnik1",3459,10
1,"/ct09_zasobnik1",3470,23
1,"/ct09_zasobnik1",3495,1
1,"/ct09_zasobnik1",3497,164
1,"/ct09_zasobnik1",3663,3
1,"/ct09_zasobnik1",3667,1
1,"/ct09_zasobnik1",3669,1
1,"/ct09_zasobnik1",3674,17
1,"/ct09_zasobnik1",3693,25
1,"/ct09_zasobnik1",3720,31
1,"/ct09_zasobnik1",3752,1
